,ID.personne.interrogée,ID.collecteur,Date.de.début,Date.de.fin,Adresse.IP,Âge,country,gender,past_chatt,past_streaming_video,past_robot,en_communication,en_programmation,en_gestion,en_organisation,prog_ennuyant,pratik_amel,meilleur_prog,plus_de_robotik,filles_moins_prog,aime_prog,prog_fun_team,robotik_interet,hard_robotik,hard_prog,useless_challenge,happy_help,good_team,serious_input,ask_adult,ask_teamate,student_help_robotik,influence_teamates,suggestions_followed,take_initiatives,solo_worker,split_work,unorganized_team,trained_forr2t2,J.utilise.mon.imagination,J.essaye.les.choses,J.utilise.l.environment.de.programmation.correctement,Je.vérifie.mon.travail,D.autres.m.ont.dit.que.j.étais.bon,Je.sais.programmer,Je.sais.taper.au.clavier,Je.parle.de.mes.idées.aux.autres,J.aime.programmer,Je.ne.sais.pas,Autres,Joyeuses,Sociables,Geek.nerds,Confientes,Sans.trop.d.amis,Intelligentes,Creatives,Quelqu.un.qui.va.reussir.dans.la.vie,Ennuyeuses,Autre..veuillez.préciser..1,Imaginatif,Essaye.les.choses,Utilise.l.environement.de.programmation.correctement,Vérifie.son.travail,Sait.programmer,Sait.taper,Discute.ses.idees.avec.les.autres,Aime.programmer,Je.ne.sais.pas.1,Communication.avec.les.autres.équipes,Supervision.du.streaming.vidéo,Programmation.du.robot.sur.place,Programmation.du.robot.à.distance,Communication.vers.l.exterieur..twitter..facebook..autres.,Coordination,Autre..veuillez.préciser..2,Ce.que.j.ai.le.plus.aimé.lors.de.cette.expérience,Ce.que.j.ai.appris.pendant.cette.expérience,Ce.que.je.n.ai.pas.aimé.et.devrait.être.amélioré
1,5083320708,93797230,11/08/2016 14:18:17,11/08/2016 14:35:37,93.7.74.239,10,France, female,2,2,1,4,3,2,4,3,4,3,2,1,4,4,3,,2,1,4,3,3,4,2,4,1,1,3,3,3,3,2,NA,2,NA,4,NA,6,7,8,9,NA,NA,NA,NA,NA,NA,NA,6,7,8,NA,,NA,2,3,4,5,NA,NA,8,NA,1,NA,3,NA,NA,NA,,De parlé au autres personnes et de regarder le robot bouger !,De bien comuniquer,De programmer le robot parce que c'étais un peu dur
2,5083320687,93797230,11/08/2016 14:19:52,11/08/2016 14:33:50,93.7.74.239,10,France, female,2,2,1,,3,2,4,1,4,3,4,1,4,4,4,2,2,1,4,4,4,4,4,4,,2,1,1,4,1,1,1,2,3,4,NA,NA,NA,8,9,NA,NA,NA,2,NA,NA,NA,NA,7,NA,NA,,1,2,3,4,NA,NA,7,8,NA,NA,NA,3,NA,NA,NA,,j ai tous aimé ,a se faire confiance , rien
3,5083320686,93797230,11/08/2016 14:19:51,11/08/2016 14:38:28,93.7.74.239,10,France, female,2,2,1,4,3,3,4,2,4,3,,1,4,3,4,2,2,4,4,4,3,4,4,4,3,3,3,3,3,2,2,NA,2,3,4,5,6,NA,8,9,NA,NA,1,2,NA,4,NA,6,NA,NA,NA,,NA,2,3,4,5,NA,7,8,NA,1,NA,3,NA,5,6,,communiquer  ,a chatter  a communiquer  a s'entraider  a cooperer,j'ai tout aimer  
4,5078028074,93797230,11/04/2016 18:29:45,11/04/2016 18:36:47,83.228.190.23,10,Switzerland,male ,2,1,2,4,3,2,4,2,4,3,4,4,3,3,3,2,2,2,3,3,3,4,4,4,4,2,4,1,3,1,2,NA,2,NA,4,NA,NA,NA,8,NA,NA,NA,NA,NA,3,NA,NA,6,7,NA,NA,,NA,2,NA,4,5,NA,7,8,NA,1,NA,3,4,NA,NA,,pouvoir indiquer au robot où aller,programmer un robot,les 30 secondes d'écart
5,5077854388,93797230,11/04/2016 16:59:49,11/04/2016 17:00:14,81.13.143.210,12,Switzerland,male ,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
6,5077754629,93797230,11/04/2016 16:10:25,11/04/2016 16:23:44,89.169.209.26,11,Russia, female,1,2,1,3,3,4,4,2,4,4,,2,3,1,3,4,,1,3,1,1,1,4,1,4,1,3,1,4,2,1,1,NA,3,NA,NA,6,NA,NA,9,NA,NA,NA,2,NA,NA,NA,6,7,NA,NA,,1,2,3,NA,5,NA,7,8,NA,1,2,NA,NA,NA,NA,,C etait tres intéressant !  notre equipe est gagnée!,j ai appris bon programmer a distance,...
7,5077635045,93797230,11/04/2016 15:14:10,11/04/2016 15:16:10,89.22.60.228,11,Russia,male ,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
8,5077109065,93797230,11/04/2016 09:42:58,11/04/2016 09:52:52,81.13.252.142,12,Switzerland,male ,1,1,1,3,4,3,,1,4,3,4,2,4,4,4,2,1,1,1,4,4,2,4,4,4,3,4,3,4,1,2,NA,2,3,4,5,6,NA,8,9,NA,NA,1,2,3,NA,5,6,7,8,NA,,NA,2,3,4,5,NA,7,8,NA,1,NA,3,4,5,NA,,les vidéos en live,que c'est très facile la programmation ,RIEN
9,5076401083,93797230,11/03/2016 21:20:46,11/03/2016 21:28:49,85.6.177.123,12,Switzerland,male ,2,2,1,3,3,3,3,1,4,3,4,1,4,3,4,3,3,1,4,4,2,4,4,4,4,1,3,4,1,3,2,1,2,3,4,NA,NA,NA,8,9,NA,NA,1,2,3,4,5,6,7,8,9,Tout le monde peut programmer ,1,2,3,4,5,NA,7,8,NA,NA,NA,3,NA,NA,NA,,Programmer ,A programmer ,Rien 
10,5075913848,93797230,11/03/2016 17:20:50,11/03/2016 17:27:44,85.4.165.6,14,Switzerland,male ,1,1,1,3,4,2,3,1,3,3,4,2,3,3,4,1,1,2,4,3,3,2,3,3,3,3,4,2,3,2,1,1,2,NA,NA,5,6,7,8,9,NA,NA,1,2,3,NA,NA,6,7,8,NA,,1,2,3,4,5,6,7,8,NA,1,2,3,4,5,6,,le chat,rien,les bugs
11,5075327950,93797230,11/03/2016 13:00:07,11/04/2016 09:09:34,193.50.110.207,12,France,male ,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
12,5075014615,93797230,11/03/2016 09:00:10,11/03/2016 09:03:44,85.5.25.120,21,Switzerland,male ,1,1,1,2,4,3,3,1,4,3,4,3,3,2,4,2,2,1,4,3,2,4,3,3,4,2,3,2,3,2,2,1,2,3,NA,NA,6,7,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A tous, pour autant que l'intérêt soit là",1,2,3,4,5,6,7,8,NA,1,2,3,4,NA,6,,Le concept de prog à distance avec décalage ordre-exécution,A gérer un groupe d'enfants,"Les groupes sont trop grands, ne permet pas à tous de s'exprimer pleinement"
13,5074991128,93797230,11/03/2016 08:35:29,11/03/2016 08:42:33,193.200.220.7,11,Switzerland,male ,2,1,1,4,3,3,3,1,4,3,4,1,4,3,4,1,1,4,3,4,4,4,4,4,4,4,3,2,4,1,1,1,2,3,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,3,NA,NA,6,7,8,NA,,1,2,3,NA,NA,NA,NA,8,NA,NA,NA,3,4,NA,NA,,"La programmation, l'esprit d'équipe dans le team, le challenge, l’infrastructure (vidéo, diverses équipes dans le monde, le chat, etc) ",A travailler en équipe sur de la programmation.,J'ai tout aimé.
14,5074974809,93797230,11/03/2016 08:15:33,11/03/2016 08:29:05,178.237.91.199,9,Switzerland,male ,2,2,1,4,3,,3,1,4,4,4,3,4,4,4,3,3,1,4,4,4,4,4,4,3,1,4,3,4,1,2,NA,2,NA,4,NA,NA,NA,8,9,NA,NA,1,2,3,4,5,6,7,NA,NA,,1,2,NA,4,5,NA,NA,8,NA,1,2,3,NA,NA,6,,- Programmer  - Regarder ce que faisaient les autres équipes ,"- communiquer par ""chatt""  - se coordonner  ",- attendre les autres équipes en fin de projet
15,5073832180,93797230,11/02/2016 17:12:58,11/02/2016 17:30:02,37.164.159.83,10,France, female,2,1,1,3,3,,3,1,3,2,3,2,3,4,4,2,2,1,4,3,3,4,2,4,3,2,3,1,3,2,1,1,2,NA,4,NA,6,7,8,9,NA,NA,1,2,3,NA,NA,6,7,8,NA,,1,2,3,4,5,6,7,8,NA,1,NA,NA,4,NA,6,communication avec les spectateurs sur place pour expliquer ce qui était en train d'être fait.,Tout! Et surtout la fin (le bouquet final),comment manier les robots; travail d'équipe; ,"on a dû répartir les rôles après la première phase; le retard entre les actions et la programmation, comme dans le chat nous ont désorganisés.  "
16,5073662948,93797230,11/02/2016 16:00:32,11/02/2016 16:09:43,193.50.111.87,13,France,male ,2,1,2,3,4,2,3,1,4,3,4,4,4,4,4,2,2,2,4,,3,2,2,3,2,2,3,1,3,3,1,NA,2,3,4,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,4,NA,6,NA,8,NA,,NA,2,NA,4,5,NA,7,8,NA,1,2,3,NA,NA,NA,,Pouvoir programmer,Les couleurs,La communication entre les equipe laissait a desirer et seule une equipe devrait connaitre le numero de port série 
17,5073655243,93797230,11/02/2016 15:57:44,11/02/2016 16:03:33,193.50.111.102,14,France,male ,1,1,1,3,3,2,2,1,4,3,3,3,3,3,,2,2,2,3,4,3,3,3,3,3,3,4,2,3,2,2,NA,2,3,NA,5,6,7,NA,9,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,5,6,NA,8,NA,NA,NA,3,4,NA,NA,,,,
18,5073653819,93797230,11/02/2016 15:57:18,11/02/2016 16:09:06,82.189.93.21,12,Italy,male ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,,,,
19,5073652627,93797230,11/02/2016 15:56:15,11/02/2016 16:01:44,194.199.1.32,14,France,male ,1,1,1,3,4,4,3,2,4,3,3,4,3,4,3,4,2,1,2,4,3,1,3,3,3,2,2,1,2,1,2,1,2,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,3,NA,NA,6,7,NA,NA,,1,2,NA,NA,5,NA,NA,NA,NA,1,2,3,4,5,6,,,,
20,5073644821,93797230,11/02/2016 15:53:34,11/02/2016 15:58:18,153.109.1.90,14,Switzerland,male ,2,1,1,3,3,3,2,2,3,3,3,,3,2,3,2,2,2,3,3,3,3,3,3,3,2,3,3,2,3,2,1,2,3,NA,NA,6,7,NA,9,NA,NA,1,2,3,4,NA,6,7,8,NA,,1,2,3,4,5,6,7,8,NA,1,2,3,4,NA,6,,le début  ,prendre une intersection avec se robot,
21,5073642804,93797230,11/02/2016 15:52:48,11/02/2016 15:58:13,77.56.52.80,15,Switzerland, female,1,1,2,3,3,4,3,1,3,3,4,1,3,4,4,2,3,2,4,4,4,3,4,3,3,2,3,1,2,3,1,NA,2,NA,4,NA,NA,7,8,NA,NA,NA,NA,NA,3,NA,NA,6,NA,NA,NA,,NA,2,NA,4,5,NA,7,NA,NA,1,2,NA,NA,NA,NA,,,,
22,5073642226,93797230,11/02/2016 15:52:34,11/02/2016 15:52:52,212.55.221.162,15,Switzerland,male ,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
23,5073641965,93797230,11/02/2016 15:52:26,11/02/2016 15:57:49,212.55.221.162,16,Switzerland,male ,1,1,2,3,4,3,2,1,3,3,2,2,3,3,3,4,4,3,3,3,3,2,3,4,3,2,3,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,,NA,2,NA,NA,NA,NA,7,NA,NA,1,NA,NA,NA,NA,NA,,,,
24,5073641373,93797230,11/02/2016 15:49:04,11/02/2016 15:57:12,194.230.155.143,16,Switzerland, female,1,1,1,4,3,4,3,1,4,3,4,1,4,4,3,3,3,1,3,4,3,1,4,4,4,3,3,2,3,1,2,1,2,3,4,5,6,7,8,9,NA,NA,1,2,3,4,5,6,7,8,9,,1,2,3,4,5,6,7,8,NA,1,NA,3,4,5,6,,Contact abec les autres,Programmer à distance,
25,5073638400,93797230,11/02/2016 15:50:59,11/02/2016 15:56:55,153.109.1.90,21,Switzerland,male ,1,1,1,2,4,3,2,1,4,4,4,1,3,1,4,2,1,4,4,2,3,3,3,3,3,3,3,3,3,3,1,1,2,3,4,NA,6,7,8,9,NA,NA,1,2,3,4,5,6,7,8,9,,NA,NA,NA,NA,NA,NA,NA,NA,9,1,NA,NA,NA,NA,NA,,,,
26,5073636024,93797230,11/02/2016 15:48:52,11/02/2016 16:01:32,77.56.52.80,15,Switzerland, female,2,2,1,2,3,3,3,2,4,3,4,1,4,3,4,3,3,1,4,4,2,3,4,3,3,2,3,3,2,1,1,NA,2,NA,4,NA,NA,NA,NA,9,NA,NA,1,NA,NA,4,NA,6,NA,NA,NA,,NA,2,NA,4,NA,NA,NA,8,NA,NA,NA,3,NA,NA,NA,,,,
27,5073626427,93797230,11/02/2016 15:45:55,11/02/2016 15:50:04,153.109.1.90,12,Switzerland,male ,1,1,1,3,3,,2,1,4,2,4,2,3,4,4,1,1,1,4,4,4,4,4,4,3,4,4,1,3,1,2,1,2,NA,4,5,NA,NA,NA,9,10,NA,1,2,3,4,NA,6,7,8,NA,,1,2,3,4,5,6,7,8,NA,1,NA,NA,4,NA,6,,Programmer un robot a distance,Beaucoup de choses,Rien tout était bien
28,5073625486,93797230,11/02/2016 15:44:05,11/02/2016 15:52:06,153.109.1.90,12,Switzerland,male ,2,2,2,3,4,4,4,1,4,3,4,1,3,3,4,2,2,1,4,3,3,4,3,3,3,3,4,2,1,2,2,NA,2,3,4,NA,NA,NA,8,NA,NA,NA,NA,NA,3,NA,5,6,7,NA,NA,,1,2,3,NA,5,NA,7,8,NA,1,2,NA,4,5,6,,pouvoir parler avec des gens dans un but precis et pas pour des discussions sans queue ni tete,j'ai appris a programmer des robots,
29,5073611556,93797230,11/02/2016 15:39:59,11/02/2016 15:40:25,128.178.145.5,14,Switzerland, female,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
