"","X.1","X","ID.personne.interrogée","ID.collecteur","Date.de.début","Date.de.fin","Adresse.IP","Âge","country","gender","past_chatt","past_streaming_video","past_robot","en_communication","en_programmation","en_gestion","en_organisation","prog_ennuyant","pratik_amel","meilleur_prog","plus_de_robotik","filles_moins_prog","aime_prog","prog_fun_team","robotik_interet","hard_robotik","hard_prog","useless_challenge","happy_help","good_team","serious_input","ask_adult","ask_teamate","student_help_robotik","influence_teamates","suggestions_followed","take_initiatives","solo_worker","split_work","unorganized_team","trained_forr2t2","J.utilise.mon.imagination","J.essaye.les.choses","J.utilise.l.environment.de.programmation.correctement","Je.vérifie.mon.travail","D.autres.m.ont.dit.que.j.étais.bon","Je.sais.programmer","Je.sais.taper.au.clavier","Je.parle.de.mes.idées.aux.autres","J.aime.programmer","Je.ne.sais.pas","Autres","Joyeuses","Sociables","Geek.nerds","Confientes","Sans.trop.d.amis","Intelligentes","Creatives","Quelqu.un.qui.va.reussir.dans.la.vie","Ennuyeuses","Autre..veuillez.préciser..1","Imaginatif","Essaye.les.choses","Utilise.l.environement.de.programmation.correctement","Vérifie.son.travail","Sait.programmer","Sait.taper","Discute.ses.idees.avec.les.autres","Aime.programmer","Je.ne.sais.pas.1","Communication.avec.les.autres.équipes","Supervision.du.streaming.vidéo","Programmation.du.robot.sur.place","Programmation.du.robot.à.distance","Communication.vers.l.exterieur..twitter..facebook..autres.","Coordination","Autre..veuillez.préciser..2","Ce.que.j.ai.le.plus.aimé.lors.de.cette.expérience","Ce.que.j.ai.appris.pendant.cette.expérience","Ce.que.je.n.ai.pas.aimé.et.devrait.être.amélioré","language"
"11",11,11,5075327950,93797230,"11/03/2016 13:00:07","11/04/2016 09:09:34","193.50.110.207",12,"France","male ",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","french"
"12",12,12,5075014615,93797230,"11/03/2016 09:00:10","11/03/2016 09:03:44","85.5.25.120",21,"Switzerland","male ",1,1,1,2,4,3,3,"1","4","3","4","3","3","2","4","2","2","1","4","3","2","4","3","3","4","2","3","2","3","2",2,1,2,3,NA,NA,6,7,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A tous, pour autant que l'intérêt soit là",1,2,3,4,5,6,7,8,NA,1,2,3,4,NA,6,"","Le concept de prog à distance avec décalage ordre-exécution","A gérer un groupe d'enfants","Les groupes sont trop grands, ne permet pas à tous de s'exprimer pleinement","french"
"13",13,13,5074991128,93797230,"11/03/2016 08:35:29","11/03/2016 08:42:33","193.200.220.7",11,"Switzerland","male ",2,1,1,4,3,3,3,"1","4","3","4","1","4","3","4","1","1","4","3","4","4","4","4","4","4","4","3","2","4","1",1,1,2,3,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,3,NA,NA,6,7,8,NA,"",1,2,3,NA,NA,NA,NA,8,NA,NA,NA,3,4,NA,NA,"","La programmation, l'esprit d'équipe dans le team, le challenge, l’infrastructure (vidéo, diverses équipes dans le monde, le chat, etc) ","A travailler en équipe sur de la programmation.","J'ai tout aimé.","french"
"14",14,14,5074974809,93797230,"11/03/2016 08:15:33","11/03/2016 08:29:05","178.237.91.199",9,"Switzerland","male ",2,2,1,4,3,NA,3,"1","4","4","4","3","4","4","4","3","3","1","4","4","4","4","4","4","3","1","4","3","4","1",2,NA,2,NA,4,NA,NA,NA,8,9,NA,NA,1,2,3,4,5,6,7,NA,NA,"",1,2,NA,4,5,NA,NA,8,NA,1,2,3,NA,NA,6,"","- Programmer  - Regarder ce que faisaient les autres équipes ","- communiquer par ""chatt""  - se coordonner  ","- attendre les autres équipes en fin de projet","french"
"15",15,15,5073832180,93797230,"11/02/2016 17:12:58","11/02/2016 17:30:02","37.164.159.83",10,"France"," female",2,1,1,3,3,NA,3,"1","3","2","3","2","3","4","4","2","2","1","4","3","3","4","2","4","3","2","3","1","3","2",1,1,2,NA,4,NA,6,7,8,9,NA,NA,1,2,3,NA,NA,6,7,8,NA,"",1,2,3,4,5,6,7,8,NA,1,NA,NA,4,NA,6,"communication avec les spectateurs sur place pour expliquer ce qui était en train d'être fait.","Tout! Et surtout la fin (le bouquet final)","comment manier les robots; travail d'équipe; ","on a dû répartir les rôles après la première phase; le retard entre les actions et la programmation, comme dans le chat nous ont désorganisés.  ","french"
"16",16,16,5073662948,93797230,"11/02/2016 16:00:32","11/02/2016 16:09:43","193.50.111.87",13,"France","male ",2,1,2,3,4,2,3,"1","4","3","4","4","4","4","4","2","2","2","4",NA,"3","2","2","3","2","2","3","1","3","3",1,NA,2,3,4,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,4,NA,6,NA,8,NA,"",NA,2,NA,4,5,NA,7,8,NA,1,2,3,NA,NA,NA,"","Pouvoir programmer","Les couleurs","La communication entre les equipe laissait a desirer et seule une equipe devrait connaitre le numero de port série ","french"
"17",17,17,5073655243,93797230,"11/02/2016 15:57:44","11/02/2016 16:03:33","193.50.111.102",14,"France","male ",1,1,1,3,3,2,2,"1","4","3","3","3","3","3",NA,"2","2","2","3","4","3","3","3","3","3","3","4","2","3","2",2,NA,2,3,NA,5,6,7,NA,9,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,5,6,NA,8,NA,NA,NA,3,4,NA,NA,"","","","","french"
"18",18,18,5073653819,93797230,"11/02/2016 15:57:18","11/02/2016 16:09:06","82.189.93.21",12,"Italy","male ",2,2,2,2,2,2,2,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"",NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,"","","","","french"
"19",19,19,5073652627,93797230,"11/02/2016 15:56:15","11/02/2016 16:01:44","194.199.1.32",14,"France","male ",1,1,1,3,4,4,3,"2","4","3","3","4","3","4","3","4","2","1","2","4","3","1","3","3","3","2","2","1","2","1",2,1,2,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,3,NA,NA,6,7,NA,NA,"",1,2,NA,NA,5,NA,NA,NA,NA,1,2,3,4,5,6,"","","","","french"
"20",20,20,5073644821,93797230,"11/02/2016 15:53:34","11/02/2016 15:58:18","153.109.1.90",14,"Switzerland","male ",2,1,1,3,3,3,2,"2","3","3","3",NA,"3","2","3","2","2","2","3","3","3","3","3","3","3","2","3","3","2","3",2,1,2,3,NA,NA,6,7,NA,9,NA,NA,1,2,3,4,NA,6,7,8,NA,"",1,2,3,4,5,6,7,8,NA,1,2,3,4,NA,6,"","le début  ","prendre une intersection avec se robot","","french"
