"","X.1","X","ID.personne.interrogée","ID.collecteur","Date.de.début","Date.de.fin","Adresse.IP","Âge","country","gender","past_chatt","past_streaming_video","past_robot","en_communication","en_programmation","en_gestion","en_organisation","prog_ennuyant","pratik_amel","meilleur_prog","plus_de_robotik","filles_moins_prog","aime_prog","prog_fun_team","robotik_interet","hard_robotik","hard_prog","useless_challenge","happy_help","good_team","serious_input","ask_adult","ask_teamate","student_help_robotik","influence_teamates","suggestions_followed","take_initiatives","solo_worker","split_work","unorganized_team","trained_forr2t2","J.utilise.mon.imagination","J.essaye.les.choses","J.utilise.l.environment.de.programmation.correctement","Je.vérifie.mon.travail","D.autres.m.ont.dit.que.j.étais.bon","Je.sais.programmer","Je.sais.taper.au.clavier","Je.parle.de.mes.idées.aux.autres","J.aime.programmer","Je.ne.sais.pas","Autres","Joyeuses","Sociables","Geek.nerds","Confientes","Sans.trop.d.amis","Intelligentes","Creatives","Quelqu.un.qui.va.reussir.dans.la.vie","Ennuyeuses","Autre..veuillez.préciser..1","Imaginatif","Essaye.les.choses","Utilise.l.environement.de.programmation.correctement","Vérifie.son.travail","Sait.programmer","Sait.taper","Discute.ses.idees.avec.les.autres","Aime.programmer","Je.ne.sais.pas.1","Communication.avec.les.autres.équipes","Supervision.du.streaming.vidéo","Programmation.du.robot.sur.place","Programmation.du.robot.à.distance","Communication.vers.l.exterieur..twitter..facebook..autres.","Coordination","Autre..veuillez.préciser..2","Ce.que.j.ai.le.plus.aimé.lors.de.cette.expérience","Ce.que.j.ai.appris.pendant.cette.expérience","Ce.que.je.n.ai.pas.aimé.et.devrait.être.amélioré","language"
"34",34,4,5077839476,93710474,"11/04/2016 16:51:11","11/04/2016 16:54:21","185.32.135.16",12,"Russia","male",2,1,1,4,4,4,4,"NA","1","2","3","4",NA,"3","2","3",NA,"2","2","NA","1","2","3","3","3",NA,"3","3","3","2",1,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,1,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"","","","","english"
"35",35,5,5077637868,93710474,"11/04/2016 15:17:07","11/04/2016 15:37:34","89.22.60.228",11,"Russia","male",1,1,1,2,4,2,3,"NA","1","1","NA","1","2","1","2","1","1","2","2","1","2","3","2","2","2","3","2","2","3","2",1,1,2,3,4,5,6,NA,8,9,NA,NA,1,2,NA,NA,NA,6,7,NA,NA,NA,1,NA,NA,NA,5,NA,NA,8,NA,1,NA,NA,4,NA,NA,"","It was fun","","","english"
"36",36,6,5075054614,93710474,"11/03/2016 09:39:30","11/03/2016 09:40:11","5.90.3.148",47,"Italy","male",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","english"
"37",37,7,5073867759,93710474,"11/02/2016 17:29:59","11/02/2016 17:37:02","105.225.164.98",15,"South Africa","male",2,1,1,4,2,4,3,"2","3","3","4","3","3","4","3","2","3","2","NA","3","NA","3","3","3","3","2","3","2","3","2",1,NA,2,NA,4,5,6,NA,NA,9,NA,NA,1,2,NA,4,NA,NA,7,NA,NA,NA,1,2,NA,4,NA,NA,7,8,NA,NA,2,NA,4,NA,6,"","","","How people on the stream (planning and discussion)did not listen to authority.","english"
"38",38,8,5073654069,93710474,"11/02/2016 15:55:40","11/02/2016 16:12:32","82.189.93.21",13,"Italy","female",2,2,2,2,3,2,3,"2","NA","2","NA","3","2","3","1","2","3","NA","2","4","3","2","NA","2","NA","2","2","NA","3","3",2,1,NA,3,NA,NA,6,7,NA,9,NA,NA,NA,NA,NA,NA,NA,6,7,NA,NA,NA,1,NA,3,4,5,6,NA,NA,NA,1,NA,3,NA,NA,6,"","","","","english"
"39",39,9,5073648463,93710474,"11/02/2016 15:53:50","11/02/2016 16:12:05","82.189.93.21",13,"Italy","male",2,2,1,1,3,2,2,"3","4","3","NA","NA","4","NA","4","2","1","1","4","1","NA","3","4","4","3","2","4","3","4","3",1,NA,2,3,4,NA,NA,NA,8,9,NA,NA,NA,NA,3,NA,NA,6,NA,NA,NA,NA,NA,2,3,4,NA,NA,7,8,NA,NA,NA,3,NA,NA,NA,"","mi è piaciuto programmare il robot e arrivare a finire la missione","programmare il robot thymio .","nulla.","english"
"40",40,10,5073646494,93710474,"11/02/2016 15:53:17","11/02/2016 16:16:02","82.189.93.21",13,"Italy","male",2,2,2,2,3,3,4,"2","4","2","NA",NA,"4","4","3","4","4","1","4","3","3","3","1","3","4","2","NA","3","2","3",1,1,2,NA,NA,NA,NA,NA,NA,9,NA,NA,1,2,NA,4,NA,6,7,NA,NA,NA,1,2,3,4,5,6,7,8,NA,NA,NA,NA,NA,NA,6,"","la proggrammazione a distanza  e la collaborazione","a programmare e testare","l'ordine","english"
"41",41,11,5073646475,93710474,"11/02/2016 15:53:34","11/02/2016 16:20:56","82.189.93.21",13,"Italy","male",2,2,2,3,2,3,3,"1","2","3","2","2","4","3","3","3","3","2","3","2","3","3","2","3","3","2","3","2","3","2",2,1,2,3,4,NA,NA,NA,8,9,NA,NA,NA,2,NA,4,NA,6,7,NA,NA,NA,1,2,NA,4,NA,6,7,NA,9,NA,NA,NA,NA,5,NA,"","the communication","","","english"
"42",42,12,5073645996,93710474,"11/02/2016 15:52:03","11/02/2016 16:12:25","82.189.93.21",13,"Italy","male",1,1,2,1,2,NA,1,"2","3","NA","2","NA","3","3","3","2","2","2","3","3","3","3","2","2","2","2","3","2","3","3",1,1,2,3,4,NA,NA,NA,NA,9,NA,11,1,NA,NA,NA,NA,6,7,8,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"i tested the orders for the robot","tester the robot ","i learn programming robots","i think wich to be improved the silence  ","english"
"43",43,13,5073645934,93710474,"11/02/2016 15:53:20","11/02/2016 16:11:53","82.189.93.21",12,"Italy","female",2,1,2,4,2,3,3,"3","3","2","3","4","3","3","3","2","3","3","2","3","3","3","3","2","1","3","2","3","3","1",2,NA,2,NA,4,NA,NA,NA,8,NA,NA,NA,NA,2,NA,NA,NA,6,7,NA,NA,NA,NA,2,NA,4,NA,NA,7,NA,NA,1,NA,NA,NA,NA,NA,"","mi è piaciuto comunicare con i team del mio gruppo, ed essere riusciti tutti insieme a fare un lavoro di squadra, compiendo a termine una missione ","programmare i robot ","anche se ho imparato a programmare dei robot, non mi è piaciuto perchè è stato difficile","english"
"44",44,14,5073645424,93710474,"11/02/2016 15:52:34","11/02/2016 16:10:59","82.189.93.21",13,"Italy","male",2,1,1,1,1,1,1,"4","3","1","1","2","2","2","2","3","3","2","4","2","2","3","4","4","2","2","2","2","3","4",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,6,7,NA,NA,NA,1,2,3,4,5,6,7,8,9,NA,NA,NA,NA,NA,6,"","i like when the blue team ,in the b sector,crashed on the walls","team work","the team work","english"
"45",45,15,5073644899,93710474,"11/02/2016 15:52:03","11/02/2016 16:09:06","82.189.93.21",13,"Italy","male",1,1,2,3,2,1,1,"NA","3","1","4","2","1","2","4","3","2","1","4","2","1","4",NA,"NA","4","1","1","4","2","NA",1,NA,2,3,4,NA,6,7,NA,9,NA,NA,1,2,NA,4,NA,6,7,NA,NA,NA,NA,2,3,4,NA,NA,NA,8,NA,NA,NA,3,NA,NA,NA,"","i like work with robots ","i learned programming robot","the communication","english"
"46",46,16,5073644434,93710474,"11/02/2016 15:53:15","11/02/2016 16:14:49","82.189.93.21",13,"Italy","female",1,1,2,3,2,3,3,"1","3","4","3","1","3","4","3","4","4","1","4","4","2","4","4","4","3","4","3","3","4","2",1,1,NA,3,4,NA,NA,7,8,9,NA,NA,NA,2,3,NA,NA,6,7,8,NA,NA,1,2,3,4,5,6,NA,8,NA,NA,NA,3,NA,NA,NA,"","I liked the mission simulated on Mars. Even if at the end, the base had to take the control of our robot, we managed to enter the camp, work like a real team and help each other."," I learned how to communicate with others and to program a robot. ","","english"
"47",47,17,5073638473,93710474,"11/02/2016 15:49:59","11/02/2016 15:59:16","41.146.224.253",14,"South Africa","female",1,1,1,4,4,4,4,"1","4","3","4","NA","4","3","4","2","2","2","4","4","2",NA,"3","3","4","2","3","3","3","2",1,1,2,3,4,5,6,7,8,9,NA,NA,1,2,3,4,NA,6,7,8,NA,NA,1,2,3,4,5,6,7,8,NA,1,2,3,4,5,6,"","","","","english"
"48",48,18,5073636012,93710474,"11/02/2016 15:49:24","11/02/2016 16:14:30","88.147.104.143",11,"Italy","female",2,1,1,NA,3,3,3,"1","1","NA","2","3","3","NA","3","3","NA","NA","3","3","1","1","2","NA","2","2","2","2","NA","1",2,NA,NA,NA,NA,NA,NA,NA,8,9,NA,NA,NA,2,NA,NA,NA,6,7,NA,NA,NA,NA,2,3,NA,NA,NA,7,NA,9,1,NA,NA,4,NA,6,"","mi è piaciuta quando siamo riusciti a far girare perfettamente il nostro Thymio","ho imparato a programmare e a essere coordinata ","mi rimprovero di essere stata un po' timorosa nel esprimere le mie idee","english"
"49",49,19,5073631456,93710474,"11/02/2016 15:47:35","11/02/2016 15:56:38","88.147.104.143",13,"Italy","male",1,1,1,3,3,2,3,"3","3","3","2","3","4","4","4","3","3","4","3","3","2","3","3","2","3","2","2","2","3","2",1,1,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"","","","","english"
"50",50,20,5073631251,93710474,"11/02/2016 15:47:33","11/02/2016 15:57:42","88.147.104.143",13,"Italy","male",1,1,2,3,2,2,2,"1","3","2","1","NA","4","4","NA","2","3","4","2","3","2","NA","NA","3","NA","2","2","NA","2","1",NA,1,NA,NA,NA,5,6,7,8,NA,10,11,1,2,NA,4,NA,6,7,8,NA,NA,1,NA,NA,4,5,6,NA,8,9,NA,NA,NA,NA,NA,NA,"","","","","english"
"51",51,21,5073630874,93710474,"11/02/2016 15:47:12","11/02/2016 15:56:07","88.147.104.143",13,"Italy","female",2,2,1,4,3,4,4,"1","NA","3","3","2","3","3","3","2","2","2","3","3","3","3","3","3","3","NA","3","2","3","2",1,1,NA,NA,NA,NA,NA,NA,8,9,NA,11,1,2,NA,NA,NA,6,7,NA,NA,NA,1,2,3,4,5,6,7,8,NA,1,NA,NA,NA,NA,NA,"","all","a lot of english and programming","the incivility of many people in chat","english"
"52",52,22,5073612686,93710474,"11/02/2016 15:40:16","11/02/2016 15:46:19","194.209.10.66",11,"Switzerland","male",2,1,1,3,3,2,3,"1","4","2","4","2","3","4","3","4","3","2","3","3","3","3","3","3","2","2","3","2","4","3",1,1,2,3,4,NA,6,7,8,9,NA,NA,1,2,NA,NA,NA,6,7,NA,NA,NA,1,2,NA,NA,5,6,7,8,NA,NA,NA,3,NA,NA,6,"","creativity","THAT IF WE WORK TOGETHER WE CAN ACCOMPLISH ANYTHING#MOTZART","tHE FRANTIC SCRAMBLING AND POOR ORGINAZATZION","english"
"53",53,23,5073611470,93710474,"11/02/2016 15:39:55","11/02/2016 15:43:37","194.209.10.66",12,"Switzerland","male",2,2,1,4,4,3,4,"1","4","4","4","NA","4","4","4",NA,"1","1","4","4","4","3","4","4","4","3","4","1","4","1",1,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,NA,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,"","Taking over peoples robots","About planning ahead","The black/white bug","english"
